Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees
1,868533333;179,9712186;359,8239341;0,028781401
1,885216667;-179,7203336;-359,6915522;359,7203336
1,9019;-179,7203049;2,87518E-05;359,7203049
1,918583333;-179,5695394;0,150765468;359,5695394
1,935266667;-179,4918463;0,0776931;359,4918463
1,95195;-179,6537186;-0,161872297;359,6537186
1,968633333;-179,9149532;-0,261234569;359,9149532
1,985316667;-179,8613246;0,05362862;359,8613246
2,002;179,8645275;359,7258521;0,13547246
2,018683333;-179,9734428;-359,8379704;359,9734428
2,035366667;-179,5950026;0,378440277;359,5950026
2,05205;-179,9842486;-0,389246048;359,9842486
2,068733333;179,9141327;359,8983813;0,085867278
2,085416667;-179,853642;-359,7677748;359,853642
2,1021;-179,821524;0,032118066;359,821524
2,118783333;-179,5347825;0,28674145;359,5347825
2,135466667;-179,7744728;-0,239690275;359,7744728
2,15215;-179,8791693;-0,104696476;359,8791693
2,168833333;-179,8457851;0,03338421;359,8457851
2,185516667;179,9495766;359,7953617;0,050423378
2,2022;-179,9413203;-359,8908969;359,9413203
2,218883333;-179,9245399;0,016780338;359,9245399
2,235566667;-179,863303;0,061236972;359,863303
2,25225;-179,8745121;-0,01120916;359,8745121
2,268933333;179,8110361;359,6855482;0,188963904
2,285616667;-179,8950293;-359,7060654;359,8950293
2,3023;-179,8130264;0,082002861;359,8130264
2,318983333;-179,6356524;0,17737401;359,6356524
2,335666667;-179,6325759;0,00307651;359,6325759
2,35235;179,8666614;359,4992373;0,133338647
2,369033333;-179,9335993;-359,8002607;359,9335993
2,385716667;-179,8989754;0,034623926;359,8989754
2,4024;-179,9735266;-0,074551208;359,9735266
2,419083333;-179,8420938;0,131432834;359,8420938
2,435766667;-179,7290198;0,113073984;359,7290198
2,45245;-179,8748898;-0,145869976;359,8748898
2,469133333;-179,9269869;-0,05209711;359,9269869
2,485816667;-179,9942164;-0,067229555;359,9942164
2,5025;179,8519679;359,8461843;0,148032121
2,519183333;179,7963483;-0,055619569;0,203651691
2,535866667;179,8830814;0,086733092;0,116918599
2,55255;179,8924734;0,00939201;0,107526588
2,569233333;-179,8617461;-359,7542195;359,8617461
2,585916667;-179,7858568;0,075889331;359,7858568
2,6026;179,8898509;359,6757077;0,110149072
2,619283333;179,8266442;-0,063206768;0,17335584
2,635966667;179,5721835;-0,254460645;0,427816485
2,65265;179,97123;0,399046525;0,02876996
2,669333333;179,896934;-0,074296027;0,103065987
2,686016667;179,8978885;0,000954528;0,102111459
2,7027;179,9406611;0,042772577;0,059338882
2,719383333;-179,7766184;-359,7172795;359,7766184
2,736066667;-179,7989196;-0,022301213;359,7989196
2,75275;-179,6479987;0,150920912;359,6479987
2,769433333;-179,9043944;-0,256395755;359,9043944
2,786116667;-179,9046859;-0,00029147;359,9046859
2,8028;179,8139611;359,7186471;0,186038862
2,819483333;179,8270063;0,013045125;0,172993737
2,836166667;-179,7962062;-359,6232125;359,7962062
2,85285;-179,677254;0,118952202;359,677254
2,869533333;179,8542217;359,5314757;0,145778311
2,886216667;-179,8351153;-359,689337;359,8351153
2,9029;-179,7048891;0,13022625;359,7048891
2,919583333;-179,9629352;-0,258046127;359,9629352
2,936266667;-179,9322469;0,030688338;359,9322469
2,95295;-179,6261964;0,306050446;359,6261964
2,969633333;179,8081167;359,4343131;0,191883324
2,986316667;-179,9601024;-359,7682191;359,9601024
3,003;-179,9507482;0,009354158;359,9507482
3,019683333;-179,7667215;0,184026694;359,7667215
3,036366667;-179,6774846;0,089236899;359,6774846
3,05305;179,9958149;359,6732996;0,004185068
3,069733333;179,9429841;-0,052830796;0,057015865
3,086416667;179,7199012;-0,223082933;0,280098798
3,1031;179,780925;0,061023777;0,219075021
3,119783333;179,8426218;0,061696863;0,157378158
3,136466667;179,9854526;0,142830772;0,014547386
3,15315;-179,9928308;-359,9782834;359,9928308
3,169833333;-179,6476078;0,345222936;359,6476078
3,186516667;-179,8457727;-0,198164878;359,8457727
3,2032;179,7421926;359,5879653;0,257807352
3,219883333;179,7742394;0,032046761;0,225760591
3,236566667;179,9146542;0,140414805;0,085345786
3,25325;179,9032869;-0,011367326;0,096713112
3,269933333;179,9170754;0,013788478;0,082924634
3,286616667;-179,821954;-359,7390294;359,821954
3,3033;-179,8074428;0,014511187;359,8074428
3,319983333;-179,6899631;0,117479744;359,6899631
3,336666667;179,9856537;359,6756168;0,014346261
3,35335;-179,92469;-359,9103437;359,92469
3,370033333;-179,9556442;-0,030954176;359,9556442
3,386716667;179,7855522;359,7411963;0,214447844
3,4034;179,7992956;0,013743394;0,200704449
3,420083333;179,8803047;0,08100912;0,119695329
3,436766667;179,7795661;-0,100738597;0,220433927
3,45345;-179,8620822;-359,6416483;359,8620822
3,470133333;-179,9876622;-0,125579929;359,9876622
3,486816667;179,8547608;359,842423;0,145239173
3,5035;179,6974941;-0,157266682;0,302505855
3,520183333;179,9480398;0,250545609;0,051960246
3,536866667;-179,9488352;-359,896875;359,9488352
3,55355;-179,674548;0,274287211;359,674548
3,570233333;179,9336007;359,6081488;0,066399251
3,586916667;179,6023949;-0,331205881;0,397605132
3,6036;179,9232243;0,320829446;0,076775686
3,620283333;179,9325242;0,009299838;0,067475848
3,636966667;179,8733799;-0,059144233;0,126620081
3,65365;179,9041771;0,030797148;0,095822934
3,670333333;179,6587146;-0,245462451;0,341285384
3,687016667;179,9088346;0,250120016;0,091165369
3,7037;179,6470514;-0,261783218;0,352948586
3,720383333;179,9484559;0,301404469;0,051544117
3,737066667;179,9288667;-0,019589144;0,071133262
3,75375;179,7523425;-0,176524237;0,247657498
3,770433333;179,9802897;0,227947224;0,019710275
3,787116667;179,8504739;-0,129815833;0,149526107
3,8038;179,9704193;0,11994543;0,029580678
3,820483333;179,9276362;-0,042783136;0,072363814
3,837166667;179,7724279;-0,155208325;0,227572139
3,85385;179,8509674;0,07853952;0,149032619
3,870533333;179,9489421;0,097974697;0,051057922
3,887216667;179,6918255;-0,2571166;0,308174522
3,9039;179,6834564;-0,008369123;0,316543645
3,920583333;179,8261949;0,142738593;0,173805052
3,937266667;179,9599234;0,13372846;0,040076593
3,95395;179,924101;-0,035822394;0,075898987
3,970633333;-179,8720441;-359,7961451;359,8720441
3,987316667;-179,8859241;-0,013880005;359,8859241
4,004;-179,9834122;-0,097488031;359,9834122
4,020683333;179,9406506;359,9240628;0,059349408
4,037366667;179,8562042;-0,084446401;0,143795809
4,05405;-179,7918921;-359,6480963;359,7918921
4,070733333;-179,8132454;-0,021353382;359,8132454
4,087416667;-179,7940852;0,019160203;359,7940852
