Frame,Timestamp_s,X_Position_m,X_Velocity_m_s,X_Acceleration_m_s2,Current_A,F,Torque
57,0.933333333333333,0.204,0.359999999999999,3.5999999999999,1.27,6.24959999999983,0.0462378640776699
58,0.95,0.21,0.36,9.99200722162641e-14,1.27,1.73461245367434e-13,0.0462378640776699
59,0.966666666666667,0.215,0.3,-3.6,1.27,-6.24960000000001,0.0462378640776699
60,0.983333333333333,0.221,0.36,3.6,1.27,6.24960000000001,0.0462378640776699
61,1,0.226,0.3,-3.6,1.42,-6.24960000000001,0.0516990291262136
62,1.01666666666667,0.231,0.3,0,1.42,0,0.0516990291262136
63,1.03333333333333,0.237,0.359999999999999,3.5999999999999,1.42,6.24959999999983,0.0516990291262136
64,1.05,0.242,0.3,-3.5999999999999,1.42,-6.24959999999983,0.0516990291262136
65,1.06666666666667,0.248,0.36,3.6,1.42,6.24960000000001,0.0516990291262136
66,1.08333333333333,0.252,0.24,-7.20000000000001,1.42,-12.4992,0.0516990291262136
67,1.1,0.257,0.3,3.6,1.42,6.24960000000001,0.0516990291262136
68,1.11666666666667,0.262,0.3,0,1.42,0,0.0516990291262136
69,1.13333333333333,0.267,0.3,0,1.42,0,0.0516990291262136
70,1.15,0.273,0.36,3.6,1.42,6.24960000000001,0.0516990291262136
71,1.16666666666667,0.278,0.3,-3.6,1.42,-6.24960000000001,0.0516990291262136
72,1.18333333333333,0.283,0.299999999999997,-1.99840144432528e-13,1.42,-3.46922490734869e-13,0.0516990291262136
73,1.2,0.289,0.36,3.6000000000002,1.42,6.24960000000035,0.0516990291262136
74,1.21666666666667,0.295,0.36,0,1.42,0,0.0516990291262136
75,1.23333333333333,0.3,0.3,-3.6,1.42,-6.24960000000001,0.0516990291262136
76,1.25,0.306,0.36,3.6,1.42,6.24960000000001,0.0516990291262136
77,1.26666666666667,0.313,0.42,3.6,1.42,6.24960000000001,0.0516990291262136
78,1.28333333333333,0.319,0.36,-3.6,1.42,-6.24960000000001,0.0516990291262136
79,1.3,0.324,0.3,-3.6,1.42,-6.24960000000001,0.0516990291262136
80,1.31666666666667,0.33,0.36,3.6,1.42,6.24960000000001,0.0516990291262136
81,1.33333333333333,0.336,0.36,0,1.42,0,0.0516990291262136
82,1.35,0.343,0.42,3.6,1.42,6.24960000000001,0.0516990291262136
83,1.36666666666667,0.348,0.299999999999997,-7.20000000000021,1.42,-12.4992000000004,0.0516990291262136
84,1.38333333333333,0.352,0.24,-3.5999999999998,1.42,-6.24959999999966,0.0516990291262136
85,1.4,0.358,0.36,7.20000000000001,1.42,12.4992,0.0516990291262136
86,1.41666666666667,0.364,0.36,0,1.35,0,0.0491504854368932
87,1.43333333333333,0.37,0.36,0,1.35,0,0.0491504854368932
88,1.45,0.376,0.36,0,1.35,0,0.0491504854368932
89,1.46666666666667,0.383,0.42,3.6,1.35,6.24960000000001,0.0491504854368932
90,1.48333333333333,0.388,0.3,-7.20000000000001,1.35,-12.4992,0.0491504854368932
91,1.5,0.393,0.3,0,1.35,0,0.0491504854368932
92,1.51666666666667,0.398,0.3,0,1.35,0,0.0491504854368932
93,1.53333333333333,0.403,0.3,0,1.35,0,0.0491504854368932
94,1.55,0.407,0.239999999999997,-3.6000000000002,1.35,-6.24960000000035,0.0491504854368932
95,1.56666666666667,0.413,0.36,7.20000000000021,1.35,12.4992000000004,0.0491504854368932
96,1.58333333333333,0.419,0.36,0,1.35,0,0.0491504854368932
97,1.6,0.425,0.36,0,1.35,0,0.0491504854368932
98,1.61666666666667,0.432,0.42,3.6,1.35,6.24960000000001,0.0491504854368932
99,1.63333333333333,0.437,0.3,-7.20000000000001,1.35,-12.4992,0.0491504854368932
100,1.65,0.442,0.3,0,1.35,0,0.0491504854368932
