Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees;;;;;;
0,016683333;185,9481044;0;371,8962087;0;2,547566501;;;;
0,033366667;182,9571934;2,990910955;368,9052978;2,990910955;;;;;
0,05005;179,7345291;3,222664351;365,6826334;6,213575306;;;;;
0,066733333;177,3232946;2,411234437;363,271399;8,624809743;;;;;
0,083416667;174,5381223;2,785172282;360,4862267;11,40998203;;;;;
0,1001;171,6873487;2,850773659;357,635453;14,26075568;;;;;-1
0,116783333;169,0891866;2,598162037;355,037291;16,85891772;;;;;
0,133466667;166,0917306;2,99745609;352,0398349;19,85637381;;;;;
0,15015;163,0176151;3,074115432;348,9657195;22,93048924;;;;;
0,166833333;160,5391307;2,478484413;346,4872351;25,40897366;;;;;
0,183516667;157,6650142;2,874116512;343,6131186;28,28309017;;;;;
0,2002;155,1731895;2,49182468;341,1212939;30,77491485;;;;;
0,216883333;152,147989;3,025200486;338,0960934;33,80011534;;;;;
0,233566667;149,2954547;2,852534291;335,2435591;36,65264963;;;;;
0,25025;146,7897583;2,5056964;332,7378627;39,15834603;;;;;
0,266933333;144,5602622;2,229496154;330,5083665;41,38784218;;;;;
0,283616667;141,4308688;3,12939343;327,3789731;44,51723561;;;;;
0,3003;138,6785947;2,752274062;324,6266991;47,26950967;;;;;
0,316983333;135,8059126;2,87268212;321,7540169;50,14219179;;;;;
0,333666667;133,197572;2,608340577;319,1456764;52,75053237;;;;;
0,35035;131,5500928;1,647479178;317,4981972;54,39801155;;;;;
0,367033333;129,479724;2,070368846;315,4278283;56,46838039;;;;;
0,383716667;127,1753199;2,304404118;313,1234242;58,77278451;;;;;
0,4004;124,4493284;2,725991474;310,3974327;61,49877599;;;;;
0,417083333;122,01268;2,436648373;307,9607844;63,93542436;;;;;
0,433766667;118,8872378;3,125442234;304,8353421;67,06086659;;;;;
0,45045;116,5219212;2,365316608;302,4700255;69,4261832;;;;;
0,467133333;114,3087806;2,213140571;300,256885;71,63932377;;;;;
0,483816667;111,9583452;2,350435439;297,9064495;73,98975921;;;;;
0,5005;109,5136292;2,444715907;295,4617336;76,43447512;;;;;
0,517183333;106,9373224;2,576306799;292,8854268;79,01078192;;;;;
0,533866667;104,5791949;2,358127565;290,5272992;81,36890948;;;;;
0,55055;102,2115067;2,367688227;288,159611;83,73659771;;;;;
0,567233333;99,55762647;2,653880181;285,5057308;86,39047789;;;;;
0,583916667;96,77234391;2,785282567;282,7204483;89,17576046;;;;;
0,6006;94,37086684;2,401477071;280,3189712;91,57723753;;;;;
0,617283333;91,8830772;2,48778964;277,8311816;94,06502717;;;;;
0,633966667;89,47772952;2,405347675;275,4258339;96,47037484;;;;;
0,65065;87,00102887;2,476700654;272,9491332;98,9470755;;;;;
0,667333333;84,95675677;2,0442721;270,9048611;100,9913476;;;;;
0,684016667;82,25374009;2,703016677;268,2018445;103,6943643;;;;;
0,7007;79,43346849;2,820271598;265,3815729;106,5146359;;;;;
0,717383333;77,52760288;1,905865616;263,4757072;108,4205015;;;;;
