Timestamp_s,Angle_deg
0.0166833333333333,-94.7540955337405
0.0333666666666667,-94.7324934560083
0.05005,-94.7542941543404
0.0667333333333333,-94.6698319296479
0.0834166666666667,-94.6544126877362
0.1001,-94.5782543533447
0.116783333333333,-94.763656200494
0.133466666666667,-94.6308346385956
0.15015,-94.5880532693313
0.166833333333333,-94.5737856068079
0.183516666666667,-94.6421267873397
0.2002,-94.7932990723606
0.216883333333333,-94.7829687689573
0.233566666666667,-94.6639728539118
0.25025,-94.6963311213378
0.266933333333333,-94.7091415366879
0.283616666666667,-94.6929146513836
0.3003,-94.8455382594367
0.316983333333333,-94.8558174804399
0.333666666666667,-94.8384835811391
0.35035,-94.7987043173956
0.367033333333333,-94.6670609400655
0.383716666666667,-94.7531667050043
0.4004,-94.6335365531887
0.417083333333333,-94.7378878331172
0.433766666666667,-94.7139423437881
0.45045,-94.7176225846318
0.467133333333333,-94.7858643065011
0.483816666666667,-94.7739641459575
0.5005,-94.8078427684175
0.517183333333333,-94.8641060098746
0.533866666666667,-94.8212136404167
0.55055,-94.747737938631
0.567233333333333,-94.9438245724937
0.583916666666667,-94.9035172377013
0.6006,-94.9276375614499
0.617283333333333,-94.6943918559312
0.633966666666667,-94.7981857360932
0.65065,-94.7618475525902
0.667333333333333,-94.6612989192802
0.684016666666667,-94.6947527174087
0.7007,-94.6647594131475
0.717383333333333,-94.7329711173218
0.734066666666667,-94.94520941887
0.75075,-94.7837187935671
0.767433333333333,-94.7639960991607
0.784116666666667,-94.730548121285
0.8008,-94.8016512843419
0.817483333333333,-94.7573773455707
0.834166666666667,-94.6891421237523
0.85085,-94.7600168140515
0.867533333333333,-94.4769290166064
0.884216666666667,-94.7764945352451
0.9009,-94.8911391811732
0.917583333333333,-94.8316525955519
0.934266666666667,-94.8043234918825
0.95095,-94.641738523652
0.967633333333333,-94.924483948602
0.984316666666667,-94.7061527017526
1.001,-94.8478840012119
1.01768333333333,-94.7625635534991
1.03436666666667,-94.8404247469739
1.05105,-94.789430555295
1.06773333333333,-94.7828452266535
1.08441666666667,-94.8413008074637
1.1011,-94.7368943081844
1.11778333333333,-94.7473532681507
1.13446666666667,-94.7161531818968
1.15115,-94.7906446470605
1.16783333333333,-94.8609801968695
1.18451666666667,-94.6901413233094
1.2012,-94.781802687213
1.21788333333333,-94.6697435640677
1.23456666666667,-94.7355850825794
1.25125,-94.6882735373552
1.26793333333333,-94.8855281692352
1.28461666666667,-94.9855714186336
1.3013,-94.9172560938055
1.31798333333333,-94.8715759153027
1.33466666666667,-94.8784697098986
1.35135,-94.8969410399319
1.36803333333333,-94.794552808312
1.38471666666667,-94.896739038638
1.4014,-94.8389895539952
1.41808333333333,-94.9899828529866
1.43476666666667,-94.9704040278151
1.45145,-94.7372569951233
1.46813333333333,-94.8345633325855
1.48481666666667,-94.8358441729729
1.5015,-94.8637778302896
1.51818333333333,-94.8458206529654
1.53486666666667,-94.7492236723824
1.55155,-94.8010912855415
1.56823333333333,-94.8355105819601
1.58491666666667,-94.8738317369639
1.6016,-94.9364817063055
1.61828333333333,-94.882406909197
1.63496666666667,-94.9715037791465
1.65165,-94.9537127334851
1.66833333333333,-94.8357325757258
1.68501666666667,-94.9020850899071
1.7017,-94.8944748646418
1.71838333333333,-94.9496918748656
1.73506666666667,-95.0578733852474
1.75175,-95.0086827169768
1.76843333333333,-94.895468743816
1.78511666666667,-94.8616682089091
1.8018,-94.8418916234543
1.81848333333333,-94.8182228141208
1.83516666666667,-94.7573828384011
1.85185,-94.6811444510174
1.86853333333333,-94.8616723176841
1.88521666666667,-94.8621669989785
1.9019,-94.7408130652533
1.91858333333333,-94.8403451064858
1.93526666666667,-94.8270498280536
1.95195,-94.8622926684371
1.96863333333333,-94.8578315065513
1.98531666666667,-94.9079442563668
2.002,-94.842617429203
2.01868333333333,-94.8771835539642
2.03536666666667,-94.7662111868534
2.05205,-94.8935590905002
2.06873333333333,-94.7353267100809
2.08541666666667,-94.8890149498607
2.1021,-94.9403040258271
2.11878333333333,-94.7782998518565
2.13546666666667,-94.7930502724648
2.15215,-94.8090902644385
2.16883333333333,-94.8910913149363
2.18551666666667,-94.8780164911155
2.2022,-94.8234363922655
2.21888333333333,-94.8009860489979
2.23556666666667,-94.9725048441107
2.25225,-94.8911565638505
2.26893333333333,-94.928079534579
2.28561666666667,-94.9105069594796
2.3023,-94.8823965825877
2.31898333333333,-94.9692658577628
2.33566666666667,-94.9005949427907
2.35235,-94.8761587440468
2.36903333333333,-94.9884187903006
2.38571666666667,-94.7830272226716
2.4024,-94.9316348593478
2.41908333333333,-94.868532116351
2.43576666666667,-94.6841828471106
2.45245,-94.9156196634854
2.46913333333333,-94.9478587937931
2.48581666666667,-94.7440008842403
2.5025,-94.76868810826
2.51918333333333,-94.7547649071149
2.53586666666667,-94.7584332597168
2.55255,-94.8021559800132
2.56923333333333,-94.7588895066559
2.58591666666667,-94.7920642331488
2.6026,-94.7956847503702
2.61928333333333,-94.8044196683328
2.63596666666667,-94.8225035746442
2.65265,-94.8796247889427
2.66933333333333,-94.711041048738
2.68601666666667,-94.8796876567155
2.7027,-94.8979743807075
2.71938333333333,-94.7534315584903
2.73606666666667,-94.7477962104246
2.75275,-94.7489061513081
2.76943333333333,-94.6485177343977
2.78611666666667,-94.9237182975678
2.8028,-95.0198606807138
2.81948333333333,-94.8907512629054
2.83616666666667,-94.8789278869683
2.85285,-94.9477064751723
2.86953333333333,-94.7405717661834
2.88621666666667,-94.7837417104402
2.9029,-94.8293107804609
