Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees;;;;
0,016683333;-165,8101538;0;0,069846152;;;;
0,033366667;-165,8289132;-0,018759307;0,051086845;;;;
0,05005;-165,8044472;0,02446594;0,075552785;;;;
0,066733333;-165,8514574;-0,047010196;0,028542589;;;;
0,083416667;-165,84597;0,005487442;0,034030031;;;;
0,1001;-165,776029;0,069940972;0,103971003;;;;
0,116783333;-165,6934879;0,082541141;0,186512143;;;;
0,133466667;-165,6601776;0,033310266;0,219822409;;;;
0,15015;-165,7833619;-0,123184309;0,0966381;;;;
0,166833333;-165,7519674;0,031394452;0,128032552;;;;
0,183516667;-165,7926358;-0,040668308;0,087364244;;;;
0,2002;-165,8572839;-0,064648149;0,022716094;;;;
0,216883333;-165,8376508;0,019633082;0,042349176;;;;
0,233566667;-165,8993529;-0,061702057;-0,019352881;;;;
0,25025;-165,9568261;-0,057473255;-0,076826137;;;;
0,266933333;-165,8809165;0,075909645;-0,000916491;;;;
0,283616667;-165,7892135;0,09170298;0,090786488;;;;
0,3003;-165,7718804;0,017333157;0,108119646;;;;
0,316983333;-165,8818894;-0,110009089;-0,001889444;;;;
0,333666667;-165,8814753;0,000414104;-0,00147534;;;;
0,35035;-165,8648125;0,016662839;0,015187499;;;;
0,367033333;-165,7685912;0,096221308;0,111408807;;;;
0,383716667;-165,8956497;-0,127058512;-0,015649705;;;;
0,4004;-165,8915411;0,00410864;-0,011541065;;;;
0,417083333;-165,9142689;-0,022727849;-0,034268914;;;;
0,433766667;-165,9641435;-0,049874541;-0,084143455;;;;
0,45045;-165,9834397;-0,019296247;-0,103439702;;;;
0,467133333;-165,9305343;0,052905421;-0,050534281;;;;
0,483816667;-165,8070884;0,123445897;0,072911616;;;;
0,5005;-165,8032629;0,003825439;0,076737055;;;;
0,517183333;-165,7771017;0,026161209;0,102898264;;;;
0,533866667;-165,8631386;-0,08603689;0,016861374;;;;
0,55055;-165,8531361;0,010002478;0,026863852;;;;
0,567233333;-165,8749583;-0,021822108;0,005041744;;;;
0,583916667;-165,9057566;-0,030798313;-0,025756569;;;;
0,6006;-165,857874;0,047882586;0,022126017;;;;
0,617283333;-165,8209738;0,036900175;0,059026192;;;;
0,633966667;-165,9124181;-0,091444281;-0,032418089;;;;
0,65065;-165,9479191;-0,035500982;-0,067919071;;;;
0,667333333;-166,0429167;-0,094997613;-0,162916684;;;;
0,684016667;-166,1125656;-0,069648943;-0,232565627;;;;
0,7007;-166,0284763;0,084089305;-0,148476322;;;;
0,717383333;-166,0304777;-0,002001376;-0,150477697;;;;
0,734066667;-166,1218985;-0,091420828;-0,241898526;;;;
0,75075;-166,0021849;0,119713607;-0,122184918;;;;
0,767433333;-166,0540468;-0,051861854;-0,174046772;;;;
0,784116667;-166,0236646;0,030382182;-0,14366459;;;;
0,8008;-166,0602425;-0,036577866;-0,180242455;;;;
0,817483333;-166,0674757;-0,007233226;-0,187475681;;;;
0,834166667;-166,0182569;0,049218828;-0,138256853;;;;
0,85085;-166,1758506;-0,15759371;-0,295850562;;;;
0,867533333;-166,1737063;0,002144224;-0,293706338;;;;
0,884216667;-166,1066197;0,067086611;-0,226619727;;;;
0,9009;-166,0777197;0,028899985;-0,197719743;;;;
0,917583333;-166,0735511;0,004168672;-0,19355107;;;;
0,934266667;-165,9750234;0,098527668;-0,095023403;;;;
0,95095;-166,0605575;-0,085534092;-0,180557495;;;;
0,967633333;-166,0341343;0,026423242;-0,154134253;;;;
0,984316667;-166,0213996;0,012734688;-0,141399565;;;;
1,001;-166,1190471;-0,097647584;-0,239047149;;;;
1,017683333;-166,0146967;0,104350483;-0,134696666;;;;
1,034366667;-166,0676904;-0,052993717;-0,187690383;;;;
1,05105;-166,1177399;-0,050049547;-0,23773993;;;;
1,067733333;-166,0831086;0,034631283;-0,203108646;;;;
1,084416667;-166,0635585;0,019550114;-0,183558532;;;;
1,1011;-166,1297775;-0,066218925;-0,249777457;;;;
1,117783333;-166,0585586;0,071218878;-0,178558579;;;;
1,134466667;-165,9872681;0,071290482;-0,107268097;;;;
1,15115;-165,9305481;0,056719989;-0,050548107;;;;
1,167833333;-166,012185;-0,081636924;-0,132185032;;;;
1,184516667;-165,8633269;0,148858114;0,016673082;;;;
1,2012;-165,8885169;-0,025189981;-0,008516899;;;;
1,217883333;-165,8948162;-0,006299322;-0,014816221;;;;
1,234566667;-165,901886;-0,007069739;-0,02188596;;;;
1,25125;-165,9851478;-0,083261812;-0,105147772;;;;
1,267933333;-166,0017389;-0,016591085;-0,121738857;;;;
1,284616667;-165,9839793;0,017759592;-0,103979264;;;;
1,3013;-166,0537134;-0,069734158;-0,173713422;;;;
1,317983333;-166,0082062;0,045507248;-0,128206174;;;;
1,334666667;-165,9532627;0,054943477;-0,073262697;;;;
1,35135;-166,0138682;-0,060605535;-0,133868232;;;;
1,368033333;-165,9782783;0,035589921;-0,098278311;;;;
1,384716667;-165,9540435;0,024234816;-0,074043495;;;;
1,4014;-166,0348613;-0,080817832;-0,154861327;;;;
1,418083333;-166,0381549;-0,00329355;-0,158154877;;;;
1,434766667;-165,9771196;0,061035243;-0,097119634;;;;
1,45145;-165,9891298;-0,012010131;-0,109129765;;;;
1,468133333;-166,0068554;-0,017725602;-0,126855367;;;;
1,484816667;-165,9910202;0,015835127;-0,11102024;;;;
1,5015;-165,9653421;0,025678124;-0,085342117;;;;
1,518183333;-165,9094601;0,05588205;-0,029460067;;;;
1,534866667;-165,9083476;0,001112508;-0,028347558;;;;
1,55155;-165,8844833;0,023864252;-0,004483306;;;;
